,prot_gas,deprot_gas,prot_aq,deprot_aq,pKa,direct_pKa,Yates,Yates_error
1,-304.8211645,-304.4026756,-304.9048736,-304.4152972,28.01,28.002494821999566,27.4,0.4
10,-345.2643265,-344.8334573,-345.344783,-344.8456538,32.4,32.395617170918264,33.7,0.3
11,-307.1762798,-306.7425075,-307.2575981,-306.7535198,34.68,34.67159927218754,34.0,0.3
2,-383.3460414,-382.917306,-383.4244119,-382.9306379,29.94,29.932878622752398,29.5,0.3
3,-1223.736204,-1223.331278,-1223.819415,-1223.340435,23.13,23.129443815100622,23.4,0.2
4,-461.8412002,-461.4151076,-461.9179778,-461.4281585,28.12,28.114199182891838,28.2,0.3
5,-540.348316,-539.9170591,-540.4214899,-539.9290418,29.33,29.32312641161942,28.3,0.1
6,-540.3620175,-539.9279821,-540.4320455,-539.9381967,29.97,29.96727749547416,30.4,0.3
7,-687.8337084,-687.4135946,-687.9082961,-687.4290416,23.26,23.255680320161808,22.0,0.1
8,-844.8606869,-844.4327846,-844.93204850,-844.45049517,24.32,24.316214329272853,22.6,1.7
9,-306.0037407,-305.5844319,-306.0870038,-305.5959465,28.69,28.683528119711823,28.5,0.4
